职位,薪资,学历,工作经验,需要几人,工作地址,公司,公司类型,公司规模,公司行业,福利,职位描述,职位要求,职位链接
高级运维工程师,1.5-2.5万/月,['本科'],['5-7年经验'],['招1人'],江东中路373号南京金融城8号楼,江苏省联合征信有限公司,国企,50-150人,金融/投资/证券,五险一金||餐饮补贴||专业培训||绩效奖金||定期体检,"1. 负责服务器系统CentOS、常用数据库Mysql/Oracle、常用服务组件（如Nginx，Redis，Zookeeper，RabbitMQ，Prometheus等）的安装、维护、迁移、故障处理；
2. 负责服务器多环境资源规划、监控、数据备份、日志分析、性能调优等工作；
3. 研究落地运维及自动化相关技术，根据需求制定运维技术方案，与研发人员配合，主导运维自动化平台建设，提升CICD流程效率及系统整体稳定性；
4. 负责系统服务的质量跟踪，完善系统监控、报警等内部工具。
5. 与架构师配合，负责培训已有IT/运维人员，指导转型。
","：
1. 本科及以上学历，计算机相关专业；
2. 5~10年中大型互联网公司运维经验，其中3年以上运维管理经验优先，自有、托管机房优先；",https://jobs.51job.com/nanjing-jyq/120651006.html?s=01&t=0
统计程序员（奖金+五险一金+双休）,0.8-1.2万/月,['硕士'],['1年经验'],['招1人'],中山东路218号长安国际大厦29楼,南京医格尔信息科技有限公司,民营公司,150-500人,"计算机软件,学术/科研",五险一金||员工旅游||专业培训||绩效奖金||年终奖金||定期体检,"岗位职责：
1、按照统计分析计划编写程序产生分析数据集；
2、按照统计师提供的分析思路产生相应的统计图表；
3、配合统计师完成数据清洗工作；
4、完成上级交代的其他事宜；
","：
1、硕士及以上学历；
2、流行病学、卫生统计学、医学统计学、生物统计学等公卫预防相关专业；
3、熟练使用sas、R软件或Python软件；
4、英语四级以上水平；
5、认真、细心、吃苦耐劳，有高度的责任感和团队合作精神。
福利待遇：
1、培训福利：（1）完善的内部培训体系，入职后进行岗前培训、工作技巧培训，师徒制带教模式。（2）不定期外部培训机会。（3）定期举办读书会。",https://jobs.51job.com/nanjing-qhq/118019707.html?s=01&t=0
高薪急聘英文写手,3-4万/月,"['在校生/应届生', '本科']",无要求,无要求,玄武区,宁波天巡教育信息咨询有限公司,民营公司,50-150人,"教育/培训/院校,专业服务(咨询、人力资源、财会)",年终奖金||绩效奖金||五险一金||员工旅游||每年多次调薪||弹性工作,"我公司是从事全球海外留学生英文写作辅导的大型网络公司，现由于公司扩张，急需高薪招聘英文写作人员，接受各个专业领域的人才，待遇丰厚。
本公司招聘各个领域的写作人才，涵盖各个专业：商科、管理、金融、数学、人力、市场营销、法律、文学、经济、会计、政治、物流、天巡公司是从事全球海外留学生英文写作辅导的大型网络公司，现由于公司扩张，急需高薪招聘英文写作人员，接受各个专业领域的人才，待遇丰厚。
本公司招聘各个领域的写作人才，涵盖各个专业：商科、金融、数学、市场营销、法律、文学、经济、会计、政治、物流、计算机科学、数据基础、编程、信息系统、电子商务、人力资源、旅游、公司治理、物流管理、供应链管理、法律、管理业务管理、国际贸易等。
一、","：
1.学历要求：目前仅接受国内研究生及以上（条件优秀的本科生亦可），及优秀的海外大学留学生。
2.英语水平要求： 国内大学英语六级以上，或者英语专业专八良好，国外雅思6.5分及以上，托福95以上。(请注意，本公司只接受英文原创写作人员，而不是简单的中英翻译，了解国外写作格式，有留学生原创写作经验优先)
3.专业要求范围：商科、管理、金融、工商管理、数学、人力、市场营销、法律、文学、经济、会计、政治、物流、计算机、教育、国贸、统计、 MBA等。要是你会数据分析类、如PYTHON、EVIEWS，SPSS，STATA，MATLAB等将是本公司着重培养人才！薪资将会比普通专业的更加丰厚！
4.态度要求：热爱写作,诚信负责，工作积极配合。具备良好的职业道德，具有充足的写作时间。
为什么选择我们？
本公司不限工作时间、不限工作地点、工作灵活，接tasks后，只要能在规定时间完成即可！工资丰厚！所有的工作地点和时间均由你自己安排，任务由你选择接与不接，推荐给你的单接或不接不影响下一次接单，工资结算在稿件截稿日之日完成。欢迎加入我们公司，希望广大贤士能来共创事业！
一、",https://jobs.51job.com/nanjing-xwq/108025075.html?s=01&t=0
机器人软件工程师,1.2-2.2万/月,['本科'],['3-4年经验'],['招1人'],江宁经济开发区东吉大道1号江苏软件园8号楼6楼,拓攻（南京）机器人有限公司,民营公司,50-150人,电子技术/半导体/集成电路,五险一金||弹性工作||定期体检||专业培训||年终奖金||补充医疗保险||餐饮补贴||员工旅游,"机器人软件工程师
工作职责
1. 负责无人机中飞行管理系统的设计和开发；
2. 负责无人机产品的功能、性能和稳定性等方面的优化；
3. 负责无人机避障、构图、路径规划等算法的研究和实现；
4. 负责指导组内软件同事的开发和技术深度的提高。
","
1. 计算机、电子相关专业毕业，本科及以上学历；3年以上嵌入式软件开发经验，熟悉软件开发流程，具有较强的软件设计和开发能力；
2. 精通C&C++/Python语言、设计模式、数据结构，具有良好的代码编写习惯；",https://jobs.51job.com/nanjing/120689989.html?s=01&t=0
软件运维工程师,0.8-1万/月,['本科'],['2年经验'],['招1人'],南京浦口丽景路2号研发大厦A座12楼 1203室,南京新高智联信息技术有限公司,民营公司,50-150人,"计算机软件,计算机服务(系统、数据服务、维修)",五险一金||员工旅游||绩效奖金||定期体检,,,https://jobs.51job.com/nanjing-pkq/121608379.html?s=01&t=0
网络运维工程师—南京分公司,0.8-1万/月,['大专'],['3-4年经验'],['招1人'],广州路188号苏宁环球大厦,中数通信息有限公司,国企,1000-5000人,"通信/电信/网络设备,通信/电信运营、增值服务",五险一金||补充医疗保险||餐饮补贴||通讯补贴||定期体检||年终奖金,"职责描述：
1、负责公司各项目服务器的软硬件上线前部署、网络申请及系统配置优化；
2、负责公司各项目业务系统的监控及维护，若出现故障需定位原因和及时处理；
3、负责公司各项目服务器的基线及漏洞修复；
4、负责工资各项目业务的上线和升级割接；
5、分析系统瓶颈，对中间件、数据库配置及系统架构进行优化；
6、编写技术文档及故障文档。
","：
1、大专及以上学历，有两年以上Linux系统的运维经验，深入了解Linux系统及其优化，具备Linux下编程经验，熟练使用grep、awk、sed等系统工具，会使用shell/python编写运维脚本；&nbsp;
2、熟悉主流开源软件（nginx、tomcat和redis等）的配置及调优；
3、熟悉使用zabbix监控软件；
4、对mysql性能调优有一定了解；",https://jobs.51job.com/nanjing-glq/121588229.html?s=01&t=0
高级前端开发工程师（六险一金+双休）,1.1-1.5万/月,['大专'],['2年经验'],['招2人'],南京高新区浦泗路8-2号 金融创新广场5楼,南京焦点领动云计算技术有限公司,民营公司,50-150人,"互联网/电子商务,计算机软件",餐饮补贴||绩效奖金||五险一金||周末双休||节日福利,"公司主要产品：领动云营销平台，依托云计算 SaaS 技术，向企业用户提供一站式自动适应PC、PAD和手机等多用户体验的营销型网站建设、运营和营销推广服务的响应式多语言建站营销平台。
1、负责公司产品WEB端、移动端前端界面的开发
2、参与前端框架技术选型、新技术讨论，参与公司前端通用组件的开发
3、配合后台开发人员完成交互功能的调试和开发
4、参与公司前端产品维护和性能优化
1、两年以上前端开发经验，能够独立完成前端开发
2、精通XHTML/XML、CSS，熟悉页面架构和布局，对表现与数据分离、Web语义化等有深刻理解，精通HTML5/CSS3技术，了解nodejs者优先
3、精通JavaScript、Ajax、DOM等前端技术，掌握面向对象编程思想，对js框架应用（如react/AngularJS/等）有一定的经验，研读过jQuery源码，了解其工作运行原理
4、对css/JavaScript性能优化、解决多浏览器兼容性问题有一定的经验
5、熟悉一门非前端脚本语言（如php/python等）
6、对用户体验、交互操作流程、及用户需求有深入理解
7、有强烈的上进心和求知欲，善于学习和运用新知识，善于沟通和逻辑表达，有强烈的团队意识和执行力
员工福利：
1、提供无息房贷；缴纳六险一金；","公司主要产品：领动云营销平台，依托云计算 SaaS 技术，向企业用户提供一站式自动适应PC、PAD和手机等多用户体验的营销型网站建设、运营和营销推广服务的响应式多语言建站营销平台。
1、负责公司产品WEB端、移动端前端界面的开发
2、参与前端框架技术选型、新技术讨论，参与公司前端通用组件的开发
3、配合后台开发人员完成交互功能的调试和开发
4、参与公司前端产品维护和性能优化
1、两年以上前端开发经验，能够独立完成前端开发
2、精通XHTML/XML、CSS，熟悉页面架构和布局，对表现与数据分离、Web语义化等有深刻理解，精通HTML5/CSS3技术，了解nodejs者优先
3、精通JavaScript、Ajax、DOM等前端技术，掌握面向对象编程思想，对js框架应用（如react/AngularJS/等）有一定的经验，研读过jQuery源码，了解其工作运行原理
4、对css/JavaScript性能优化、解决多浏览器兼容性问题有一定的经验
5、熟悉一门非前端脚本语言（如php/python等）
6、对用户体验、交互操作流程、及用户需求有深入理解
7、有强烈的上进心和求知欲，善于学习和运用新知识，善于沟通和逻辑表达，有强烈的团队意识和执行力
员工福利：
1、提供无息房贷；缴纳六险一金；",https://jobs.51job.com/nanjing-pkq/103443320.html?s=01&t=0
测试工程师（2020届）,0.7-1万/月,"['在校生/应届生', '本科']",无要求,无要求,诚信大道519号,中科曙光南京研究院有限公司,国企,150-500人,"计算机硬件,计算机软件",五险一金||补充医疗保险||交通补贴||定期体检||绩效奖金||员工旅游||带薪年假||节日福利,"岗位职责：
1、编写测试计划，测试用例 ；
2、对产品进行功能测试、性能测试等日常质量保障；
3、和产品、开发的同事沟通，交流反馈碰到的问题和建议；","岗位职责：
1、编写测试计划，测试用例 ；
2、对产品进行功能测试、性能测试等日常质量保障；
3、和产品、开发的同事沟通，交流反馈碰到的问题和建议；",https://jobs.51job.com/nanjing-jnq/120188243.html?s=01&t=0
软件测试工程师,0.8-1.5万/月,['大专'],['3-4年经验'],['招2人'],-,苏州维莱科软件有限公司,民营公司,50-150人,"计算机软件,计算机服务(系统、数据服务、维修)",五险一金||餐饮补贴||专业培训||年终奖金,,,https://jobs.51job.com/nanjing-pkq/113451931.html?s=01&t=0
数据科学家（数据洞察）HZ20011,2.5-3.5万/月,['大专'],['8-9年经验'],['招3人'],江宁区 双龙大道1698号 景枫大厦16F,鼎捷软件股份有限公司（原神州数码管理系统有限公司）,上市公司,1000-5000人,"计算机软件,计算机服务(系统、数据服务、维修)",五险一金||补充医疗保险||补充公积金||餐饮补贴||专业培训||年终奖金,"制造业乃中国经济强劲发展之本，如果您和我们一样有志攀登中国智能制造的高峰，我们愿与您携手共铸辉煌。
鼎捷，因为专注所以专业；
鼎捷，中国智能制造的扛把子。
职位描述：
1.与Product Owner、Scrum Master共同进行需求及应用场景规划
2.内部数据收集与分析之算法与技术架构规划
3.外部数据收集与分析之算法与技术架构规划
4.技术架构设计与文件产出
","：
1.熟悉数据关联性分析与特征值分析之算法与三方套件
2.具备良好的代码阅读、分析和设计能力
3.熟悉Java、Python或其他数据分析常用程序语言与技术之设计开发
4.具备与应用人员沟通之能力
5.具备业务功能理解能力
6.具备新技术及三方套件调研能力
7.具备数据分析、数据洞察功能规划实作经验者优先
8.熟悉Java分布式架构者优先愿意配合大陆(南京)出差
9.主动积极、自主学习力强、具高度责任心与荣誉感与团队精神及高度客户导向特质
岗位优势或发展前景
1、专业的团队，丰富的大型项目实战机会
2、复合型岗位要求，您将比实施顾问更懂咨询，比咨询师更懂企业信息化
3、集团化的企业，系列化产品为客户提供智能制造综合解决方案的同时也为您提供了宽广的发展空间
加入鼎捷，您可以获得优厚的薪资福利待遇和完善的培训发展体系
----固定的基本薪资、年终奖、绩效奖金、年度调薪
----法定年假、福利年假、法定节假日、带薪病假
----五险一金、商业保险（补充医疗险、意外伤害险）",https://jobs.51job.com/nanjing/119935417.html?s=01&t=0
实施项目经理,1-1.5万/月,['本科'],['3-4年经验'],['招1人'],南京市浦口区团结路99号南京软件园孵鹰大厦A座14F（十号线近江浦））,南京联成科技发展股份有限公司,上市公司,150-500人,"计算机服务(系统、数据服务、维修),计算机软件",餐饮补贴||通讯补贴||五险一金||交通补贴||员工旅游||绩效奖金||年终奖金,"实施项目经理(10k-12k)
岗位职责：
1、负责公司产品的部署实施；
2、负责输出产品实施方案；
3、负责产品上线后的持续售后服务；
","：
1、计算机相关专业本科以上学历，3年以上软件实施工作经验；
2、熟悉常用数据库(oracle/mysql/postgresql/mongodb)，能够熟练部署和使用常规的操作；",https://jobs.51job.com/nanjing/118916967.html?s=01&t=0
数仓开发工程师,1.2-2万/月,['本科'],['2年经验'],无要求,云龙山路88号烽火大厦A座26F,南京烽火星空通信发展有限公司,国企,1000-5000人,计算机软件,五险一金||交通补贴||餐饮补贴||年终奖金||补充医疗保险||定期体检||年底双薪||生日福利||节日福利,"1、负责项目中数仓构建、函数开发；
2、负责数据调优、数据运营；
3、负责数据挖掘，算法研究；
4、领导安排的其他工作。","1、负责项目中数仓构建、函数开发；
2、负责数据调优、数据运营；
3、负责数据挖掘，算法研究；
4、领导安排的其他工作。",https://jobs.51job.com/nanjing-jyq/117386648.html?s=01&t=0
技术支持工程师,0.6-1.5万/月,['本科'],['2年经验'],['招2人'],南京市雨花台区绿地之窗商务广场D-2-1栋627室,北京泽塔云科技股份有限公司,民营公司,50-150人,"计算机服务(系统、数据服务、维修),计算机软件",绩效奖金||五险一金||节日福利||专业培训||周末双休||带薪年假,,,https://jobs.51job.com/nanjing-yhtq/116761145.html?s=01&t=0
机器视觉工程师,0.8-1.6万/月,['本科'],['3-4年经验'],['招1人'],南佑路7号千人大厦6006~6008室,南京昊控软件技术有限公司,民营公司,50-150人,"计算机软件,电气/电力/水利",五险一金||员工旅游||餐饮补贴||通讯补贴||专业培训||出国机会||绩效奖金||定期体检||周末双休,"岗位职责：
1.负责计算机视觉算法和深度学习算法前沿技术的研发工作；
2.基于机器视觉和图像处理算法完成水利行业相关测量技术和产品的开发与实现；","岗位职责：
1.负责计算机视觉算法和深度学习算法前沿技术的研发工作；
2.基于机器视觉和图像处理算法完成水利行业相关测量技术和产品的开发与实现；",https://jobs.51job.com/nanjing-jnq/98026823.html?s=01&t=0
安全研究员,1.5-3万/月,['大专'],['3-4年经验'],无要求,玄武区玄武大道108号徐庄软件园二期聚慧园5幢12层,江苏金盾检测技术有限公司,民营公司,50-150人,计算机服务(系统、数据服务、维修),五险一金||交通补贴||餐饮补贴||通讯补贴||年终奖金||定期体检||员工旅游||绩效奖金,"1. 三年以上黑客攻防经验，有过大型内网渗透经历，无线攻防相关经验。
2. 熟练安卓下的动态调试技术，熟悉APP的安全特性和安全测试方法和流程。","1. 三年以上黑客攻防经验，有过大型内网渗透经历，无线攻防相关经验。
2. 熟练安卓下的动态调试技术，熟悉APP的安全特性和安全测试方法和流程。",https://jobs.51job.com/nanjing/121638276.html?s=01&t=0
系统运维工程师,0.8-1万/月,['大专'],['2年经验'],无要求,创智路,江苏茂丰人力资源管理有限公司,民营公司,50-150人,专业服务(咨询、人力资源、财会),五险一金||周末双休,"1、负责运维体系建立和实施，设计并推进运维自动化；
2、保障部门运维安全，处理运维事故，优化维护流程，降低系统安全风险；
3、制定系统、数据日常巡检和备份，定期做灾难恢复演练；
1.","：
-大专及以上学历，2年以上应用运维工作经验；
2.工作经验：
-2年以上linux系统运维管理经验；精通LINUX操作系统，对DNS/apache/nginx/svn/mongodb/redis/mysql/ES/jenkins等服务具备配置，调优，排错能力；
-熟练掌握grep/sed/awk等系统工具，熟悉shell/python脚本语言；
-熟悉SQL语句；
-对网络安全体系有深入理解，有网络安全时间的紧急处置经验和能力，熟悉各类网络安全产品体系；
-熟悉Zabbix的安装部署和使用加分；
-熟悉kubernats docker mycat加分；
3.能力要求：",https://jobs.51job.com/nanjing-jyq/119183784.html?s=01&t=0
图像算法工程师,2-4万/月,['硕士'],无要求,无要求,宁双路18号沁恒科技园D栋南一层,南京红松信息技术有限公司,民营公司,50-150人,"互联网/电子商务,教育/培训/院校",五险一金||员工旅游||交通补贴||通讯补贴||专业培训||绩效奖金||年终奖金||股票期权,"岗位职责：
1. 手写字体识别、智能批阅AI算法设计、训练和优化工作；","岗位职责：
1. 手写字体识别、智能批阅AI算法设计、训练和优化工作；",https://jobs.51job.com/nanjing-yhtq/113547589.html?s=01&t=0
PaaS专家,1-2万/月,['本科'],['5-7年经验'],['招1人'],奥体大街69号新城科技园,南京星邺汇捷网络科技有限公司,民营公司,150-500人,"计算机软件,通信/电信运营、增值服务",五险一金||绩效奖金||年终奖金||补充医疗保险||定期体检||专业培训,"




有使用Hadoop/Spark/HBase/Elasticsearch/Logstash/Kafka等分布式组件/框架相关经验者优先；






","




有使用Hadoop/Spark/HBase/Elasticsearch/Logstash/Kafka等分布式组件/框架相关经验者优先；






",https://jobs.51job.com/nanjing-jyq/121493480.html?s=01&t=0
软件运维工程师,0.7-1.2万/月,['大专'],['3-4年经验'],['招2人'],胜利路89号紫金研创中心,南京市多翼电智科技有限公司,民营公司,少于50人,"计算机软件,计算机服务(系统、数据服务、维修)",五险一金||餐饮补贴||通讯补贴||年终奖金||弹性工作||定期体检,,"：
1.对车载服务器进行日常维护,确保各项服务连续正常运行,无事故发生;
2.研究运维相关技术,配合公司产品、开发根据系统需求制定运维技术方案。",https://jobs.51job.com/nanjing-jnq/119055758.html?s=01&t=0
本地化工程师,0.6-1万/月,['本科'],['1年经验'],['招2人'],软件大道101号华为南京基地,江苏省舜禹信息技术有限公司,民营公司,500-1000人,"专业服务(咨询、人力资源、财会),娱乐/休闲/体育",五险一金||定期体检||专业培训||周末双休||节日福利||带薪年假,,,https://jobs.51job.com/nanjing-yhtq/119974737.html?s=01&t=0
嵌入式软件工程师,0.8-1.6万/月,['本科'],['3-4年经验'],['招2人'],玄武大道699-27号徐庄软件产业基地江苏软件园13栋1层,江苏金中天智能科技有限公司,民营公司,150-500人,"计算机服务(系统、数据服务、维修),互联网/电子商务",五险一金||餐饮补贴||年终奖金||员工旅游||定期体检||带薪年假||周末双休||朝九晚五,"1、负责无线终端产品的软件开发和调试，并和产品进行有效的沟通；
2、根据开发进度和任务分配，能独立完成相应模块软件的设计、开发、编程任务；
3、编写详细设计文档和相关的技术文档；
4、对客户问题快速反应并予以解决；
",：,https://jobs.51job.com/nanjing/119954479.html?s=01&t=0
资深算法工程师（风控方向） (MJ001817),2-3.5万/月,['本科'],['5-7年经验'],['招1人'],软件大道170号天溯科技园5幢7楼,SHEIN,民营公司,5000-10000人,"互联网/电子商务,贸易/进出口",,"职位描述：
和目前算法团队一起，协助业务方，持续优化现有风控模型，不断改进相关指标
工作职责：
1.	迭代优化现有风控模型，持续改进指标
2.	研发风控规则引擎自动化配置系统，对接业务方自动更新风控规则
3.	协助完善风控系统工具及技术集成
4.	做好风控系统指标监控和报警管理
5.	完成上级交代的其他工作","职位描述：
和目前算法团队一起，协助业务方，持续优化现有风控模型，不断改进相关指标
工作职责：
1.	迭代优化现有风控模型，持续改进指标
2.	研发风控规则引擎自动化配置系统，对接业务方自动更新风控规则
3.	协助完善风控系统工具及技术集成
4.	做好风控系统指标监控和报警管理
5.	完成上级交代的其他工作",https://jobs.51job.com/nanjing-yhtq/120944432.html?s=01&t=0
嵌入式软件开发工程师（应用软件方向）,1.5-2.5万/月,['本科'],['3-4年经验'],['招2人'],石榴财智中心二期A栋,南京大鱼半导体有限公司,民营公司,150-500人,"计算机软件,通信/电信运营、增值服务",周末双休||五险一金||带薪年假||弹性工作||餐饮补贴||补充医疗保险||年终奖金||定期体检,"1、负责IoT应用软件功能设计以及开发；
2、负责研究和完善适应业务发展需要的应用层技术架构；
3、负责对新产品的技术预研以及完成技术积累；
4、对重难点技术进行技术攻关，性能优化等；
【我们对您的期待】
1、 本科及以上学历，计算机、通信、信息安全相关专业；
2、 熟悉RTOS或Linux或Android环境下的C/C++的开发，有Python开发经验，熟练使用各种编译调试命令；","1、负责IoT应用软件功能设计以及开发；
2、负责研究和完善适应业务发展需要的应用层技术架构；
3、负责对新产品的技术预研以及完成技术积累；
4、对重难点技术进行技术攻关，性能优化等；
【我们对您的期待】
1、 本科及以上学历，计算机、通信、信息安全相关专业；
2、 熟悉RTOS或Linux或Android环境下的C/C++的开发，有Python开发经验，熟练使用各种编译调试命令；",https://jobs.51job.com/nanjing-glq/120955803.html?s=01&t=0
生物信息科学家,1.5-3万/月,['博士'],['5-7年经验'],['招2人'],南京市江北新区浦滨路211号基因大厦B座14楼,南京智谱分子医学技术研究院有限公司,创业公司,少于50人,"制药/生物工程,医疗设备/器械",做五休二||专业培训||五险一金||员工旅游,1. 负责生物信息学部生信和数据科学平台，通过该平台支持科研服务和研发项目等各项数据分析任务。,1. 负责生物信息学部生信和数据科学平台，通过该平台支持科研服务和研发项目等各项数据分析任务。,https://jobs.51job.com/nanjing-pkq/116646034.html?s=01&t=0
OpenStack研发运维工程师,0.6-1.3万/月,['本科'],['2年经验'],['招2人'],白下高新产业园 中国云计算创新基地A栋九层,南京云创大数据科技股份有限公司,上市公司,150-500人,计算机软件,五险一金||年终奖金||补充医疗保险||免费班车||员工旅游||餐饮补贴||专业培训||绩效奖金||股票期权,,,https://jobs.51job.com/nanjing/119203947.html?s=01&t=0
图像算法工程师,1.5-2.5万/月,['本科'],['3-4年经验'],['招1人'],江东北路418号-30,广州市华粤行仪器有限公司,民营公司,500-1000人,"制药/生物工程,医疗设备/器械",五险一金||交通补贴||年终奖金||专业培训||通讯补贴||弹性工作||定期体检,"负责医疗器械影像算法的研究工作，包括但不限于传统算法的迁移、改进与优化，以及新算法的设计，实现和调优。
岗位职责
1、根据产品需求，研究、开发和优化智能图像分析算法；","负责医疗器械影像算法的研究工作，包括但不限于传统算法的迁移、改进与优化，以及新算法的设计，实现和调优。
岗位职责
1、根据产品需求，研究、开发和优化智能图像分析算法；",https://jobs.51job.com/nanjing-glq/119356626.html?s=01&t=0
运维工程师,4-7千/月,"['在校生/应届生', '本科']",无要求,['招8人'],软件大道66号华通科技园6层,苏迪科技,民营公司,150-500人,"计算机软件,互联网/电子商务",五险一金||弹性工作||定期体检||专业培训||年终奖金||员工旅游,"岗位职责
1.负责应用系统日常运维，包括：问题处理跟踪、数据统计、环境配置，排错，维护等；
2.总结系统运维工作，定期制作系统运行报告；
3.主动发现生产环境的问题和隐患；
4.完成公司或客户指定的其它相关工作。
","
1、计算机或相关专业，本科及以上学历；",https://jobs.51job.com/nanjing-yhtq/115191904.html?s=01&t=0
运维工程师,0.7-1.1万/月,['本科'],['2年经验'],无要求,南京市江宁区秣周东路12号U谷2号楼,南京优速网络科技有限公司,民营公司,50-150人,计算机软件,五险一金||餐饮补贴||弹性工作||定期体检||通讯补贴||交通补贴||绩效奖金||年终奖金,"职责描述：
1、负责公司产品软件安装，系统维护，对出现的问题能够及时记录分析，并建立与客户、公司内部的沟通；
2、负责对网络设备、服务器及安全系统等运行管理与配置；
3、负责Linux服务器系统的日常运维工作；
4、负责公司产品的部署、升级；
5、负责软件测试数据整理、方案汇报。
","：
1.本科以上计算机相关专业；
2.具有计算机网络知识，熟悉http、tcp/ip协议，能快速定位常见的网络问题；
3.至少掌握perl、shell、python、ruby中的一种脚本技术并能运用解决实际问题；",https://jobs.51job.com/nanjing-jnq/120465754.html?s=01&t=0
嵌入式开发工程师,1.5-2万/月,['本科'],['5-7年经验'],['招1人'],南京高新技术产业开发区高科三路10号,南微医学科技股份有限公司,上市公司,1000-5000人,医疗设备/器械,五险一金||专业培训||绩效奖金||年终奖金||弹性工作,"1.  从事医疗器械嵌入式平台开发，完成相应功能设计和模块开发工作。
2. 按照公司项目开发计划，参与产品、项目的需求分析以及框架设计工作。
3. 根据开发规范与流程完成模块的设计、编码、测试以及编写相关文档。
4. 分析、解决产品应用中的故障。
5. 完成公司领导交办的其他工作任务。
","：
1. 5年以上嵌入式软件或者驱动软件亲手开发经验（基于Linux系统）,并有硬件开发经验者优先；
2. 熟悉Linux系统和设备驱动框架，开发过显示屏，IIC，DMA等相关驱动者优先；
3. 熟悉Linux中断机制；
4. 熟悉多核ARM处理器架构，有基于ZYNQ开发经验者优先；
5. 理解和熟练掌握boot code, uboot等相关；
6. 熟悉医疗设备软件开发设计流程 IEC62304，了解医疗设备的相关标准；
7. 熟练运用C，C++，python进行编程和调试，熟悉SQL server/MySQL/Access等数据库的开发应用；
8. 英语 CET4及以上，能熟练阅读和理解英文资料,有较强的书面和口头交流能力。

关键绩效指标：",https://jobs.51job.com/nanjing/107678589.html?s=01&t=0
实时音视频性能测试工程师,0.6-1.2万/月,['大专'],['2年经验'],['招2人'],西春路1号创智大厦北楼3层,江苏怀业信息技术股份有限公司,民营公司,150-500人,"计算机软件,电子技术/半导体/集成电路",五险一金||餐饮补贴||周末双休||项目奖金||年终奖金||出差补贴,"1、负责音视频性能测试环境搭建，参与网络相关的测试工作和测试环境设计，性能数据分析，性能标准制定。
2、负责测试需求分析，工具框架搭建与实现。
3、配合开发团队改进音视频质量。
4、完成上级安排的其他工作
","：
1、有大型系统的运维管理经验，2年以上相关工作经验；",https://jobs.51job.com/nanjing-yhtq/121449180.html?s=01&t=0
无人驾驶工程师,1.2-1.8万/月,['本科'],['3-4年经验'],['招2人'],江苏省南京市雨花台区,天嘉智能装备制造江苏股份有限公司,民营公司,150-500人,机械/设备/重工,五险一金||餐饮补贴||周末双休||年终奖金,"岗位职责：
1. 负责集成和构建无人驾驶统方案，集成并优化自动驾驶系统
2. 负责集成调试各个传感器（相机、激光雷达、毫米波雷达）、实车测试
3. 参与软硬件架构开发和调试
4. 进行相关故障排查及分析工作
","：
1. 本科以上学历，电子工程、机械工程、计算机、通信工程、机器人等相关专业",https://jobs.51job.com/jiangsusheng/113087602.html?s=01&t=0
测试工程师,0.8-1.2万/月,['本科'],['3-4年经验'],['招1人'],新城大厦A座1209,浙江网新恩普软件有限公司,民营公司,500-1000人,"计算机软件,计算机服务(系统、数据服务、维修)",五险一金||免费班车||交通补贴||餐饮补贴||通讯补贴||年终奖金||定期体检,"岗位职责：
1.负责项目/产品的测试工作，参与产品需求分析，负责测试计划制定,并能预先评估项目风险，确保测试活动的顺利开展；
2.根据产品需求和产品设计,编写功能测试设计和用例,根据需求进行功能、异常、兼容性等测试，包括测试设计、执行、BUG提交和追踪，测试报告；
3.实施软件测试，完成对产品的集成测试与系统测试；
4.对产品问题进行跟踪分析和报告，推动测试中发现问题及时合理地解决；
5.搭建并维护测试环境，沉淀业务场景；
6.根据产品，能够从用户角度出发，对产品提出改进建议以提升用户感受，对项目质量风险进行评估和把控，给出解决方案7.通过总结、对外交流、技术钻研和培训，进行测试过程和测试方法的持续改进。","岗位职责：
1.负责项目/产品的测试工作，参与产品需求分析，负责测试计划制定,并能预先评估项目风险，确保测试活动的顺利开展；
2.根据产品需求和产品设计,编写功能测试设计和用例,根据需求进行功能、异常、兼容性等测试，包括测试设计、执行、BUG提交和追踪，测试报告；
3.实施软件测试，完成对产品的集成测试与系统测试；
4.对产品问题进行跟踪分析和报告，推动测试中发现问题及时合理地解决；
5.搭建并维护测试环境，沉淀业务场景；
6.根据产品，能够从用户角度出发，对产品提出改进建议以提升用户感受，对项目质量风险进行评估和把控，给出解决方案7.通过总结、对外交流、技术钻研和培训，进行测试过程和测试方法的持续改进。",https://jobs.51job.com/nanjing-jyq/121678406.html?s=01&t=0
前端开发工程师,0.8-1万/月,无要求,无要求,['招1人'],南京市秦淮区菱角市66号8幢A座202,南京启若教育科技有限公司,民营公司,少于50人,互联网/电子商务,五险一金||绩效奖金||年终奖金,"岗位职责：
1、负责产品前端页面的开发和迭代；
2、独立完成复杂的多平台前端交互实现，包括web及APP等产品；
3、与设计、产品及后台人员沟通，保证产品的质量和开发进度；
4、持续优化产品的质量、性能、用户体验。
","：
1、两年或以上前端相关工作经验；
2、能独立完成网页前端开发，能解决市面主流浏览器的兼容性问题，对网站设计有较深入的了解；
3、熟练掌握HTML(5)、CSS(3)、能够写原生JavaScript，至少熟练掌握一种前端类库，如jQuery、Zepto等；",https://jobs.51job.com/nanjing/98094701.html?s=01&t=0
